Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Timestamp
0,0,1,1,1,1,1,1,2024-10-30 20:46:52.998
0,0,1,1,1,1,1,1,2024-10-30 20:46:53.199
0,0,1,1,1,1,1,1,2024-10-30 20:46:53.736
0,0,1,1,1,1,1,1,2024-10-30 20:46:53.937
0,0,1,1,1,1,1,1,2024-10-30 20:46:54.138
0,0,1,1,1,1,1,1,2024-10-30 20:46:54.341
0,0,1,1,1,1,1,1,2024-10-30 20:46:54.542
0,0,1,1,1,1,1,1,2024-10-30 20:46:54.742
0,0,1,1,1,1,1,1,2024-10-30 20:46:54.947
0,0,1,1,1,1,1,1,2024-10-30 20:46:55.148
0,0,1,1,1,1,1,1,2024-10-30 20:46:55.348
0,0,1,1,1,1,1,1,2024-10-30 20:46:55.553
0,0,1,1,1,1,1,1,2024-10-30 20:46:55.754
0,0,1,1,1,1,1,1,2024-10-30 20:46:55.956
0,0,1,1,1,1,1,1,2024-10-30 20:46:56.157
0,0,1,1,1,1,1,1,2024-10-30 20:46:56.360
0,0,1,1,1,1,1,1,2024-10-30 20:46:56.562
0,0,1,1,1,1,1,1,2024-10-30 20:46:56.763
0,0,1,1,1,1,1,1,2024-10-30 20:46:56.967
0,0,1,1,1,1,1,1,2024-10-30 20:46:57.168
0,0,1,1,1,1,1,1,2024-10-30 20:46:57.369
0,0,1,1,1,1,1,1,2024-10-30 20:46:57.573
0,0,1,1,1,1,1,1,2024-10-30 20:46:57.774
0,0,1,1,1,1,1,1,2024-10-30 20:46:57.975
0,0,1,1,1,1,1,1,2024-10-30 20:46:58.179
0,0,1,1,1,1,1,1,2024-10-30 20:46:58.380
0,0,1,1,1,1,1,1,2024-10-30 20:46:58.581
0,0,1,1,1,1,1,1,2024-10-30 20:46:58.783
0,0,1,1,1,1,1,1,2024-10-30 20:46:58.986
0,0,1,1,1,1,1,1,2024-10-30 20:46:59.186
0,0,1,1,1,1,1,1,2024-10-30 20:46:59.387
0,0,1,1,1,1,1,1,2024-10-30 20:46:59.592
0,0,1,1,1,1,1,1,2024-10-30 20:46:59.793
0,0,1,1,1,1,1,1,2024-10-30 20:46:59.994
0,0,1,1,1,1,1,1,2024-10-30 20:47:00.198
0,0,1,1,1,1,1,1,2024-10-30 20:47:00.399
0,0,1,1,1,1,1,1,2024-10-30 20:47:00.601
0,0,1,1,1,1,1,1,2024-10-30 20:47:00.804
0,0,1,1,1,1,1,1,2024-10-30 20:47:01.005
0,0,1,1,1,1,1,1,2024-10-30 20:47:01.207
0,0,1,1,1,1,1,1,2024-10-30 20:47:01.408
1,0,1,1,1,1,1,1,2024-10-30 20:47:01.611
1,0,1,1,1,1,1,1,2024-10-30 20:47:01.813
1,0,1,1,1,1,1,1,2024-10-30 20:47:02.017
1,0,1,1,1,1,1,1,2024-10-30 20:47:02.218
1,0,1,1,1,1,1,1,2024-10-30 20:47:02.422
1,0,1,1,1,1,1,1,2024-10-30 20:47:02.623
0,0,1,1,1,1,1,1,2024-10-30 20:47:02.825
1,0,1,1,1,1,1,1,2024-10-30 20:47:03.028
1,0,1,1,1,1,1,1,2024-10-30 20:47:03.229
1,0,1,1,1,1,1,1,2024-10-30 20:47:03.430
1,0,1,1,1,1,1,1,2024-10-30 20:47:03.635
0,0,1,1,1,1,1,1,2024-10-30 20:47:03.836
0,0,1,1,1,1,1,1,2024-10-30 20:47:04.037
0,0,1,1,1,1,1,1,2024-10-30 20:47:04.239
0,0,1,1,1,1,1,1,2024-10-30 20:47:04.440
0,0,1,1,1,1,1,1,2024-10-30 20:47:04.642
